final_asset,ruined
-6440481.104415028,1
-17843893.982104253,1
9524191.89230646,0
-3668094.277392277,1
-3087758.4066853435,1
13128809.702280857,0
-7191861.647668366,1
-3643953.315538433,1
-1764835.9721861512,1
3042661.4629192622,0
-9883942.431984855,1
13079961.267677749,0
10564736.445213739,0
2893778.090787215,0
-12468107.28628687,1
4437560.023518143,0
7786911.428910788,0
-15446012.571984524,1
-8740853.573895995,1
-10323514.443052715,1
-12755172.828071577,1
-2663908.043780472,1
5982034.576336897,0
-640570.2025069651,1
-13442417.035731265,1
34504367.249882616,0
-9459759.43449718,1
-1698102.959148649,1
-7721164.604934742,1
10092986.175722592,0
-1052378.130297728,1
-5673959.3673214335,1
5860875.805888286,0
418767.1813627499,0
-3551172.177306237,1
8722268.77577088,0
-3255000.2057429417,1
-15250406.870755637,1
2614765.9513558424,0
123476.73231247677,0
7172590.041639338,0
25584649.531371348,0
5866027.398706392,0
2497396.3493336593,0
-11309808.765766334,1
55955.74650923336,0
-3695400.4329126263,1
-4208701.151185314,1
-2205728.108780895,1
4349683.05698771,0
-7759388.712080336,1
46775694.99473423,0
-3468732.5132395863,1
16451549.997244276,0
7309587.622958541,0
-1392269.2734035118,1
-12957177.998501081,1
59810.772536864875,0
-6047588.8517460935,1
12780214.263174035,0
3408888.409215249,0
-11960911.546725683,1
34112931.001445726,0
-15888339.611497538,1
-6771803.229127559,1
36284343.59604059,0
338201.70812114124,0
-24586000.84126941,1
-5328733.510536749,1
-3130331.4993697405,1
8056355.369004558,0
-2447617.31323693,1
21651214.1118731,0
11823577.882613711,0
-18662575.750487387,1
-4141946.3265698175,1
-11579309.541948551,1
6903021.420869455,0
714484.3610933898,0
-1093045.1440365708,1
39963779.38352448,0
-11815088.768056516,1
-7655794.432013093,1
-6790250.233188006,1
2648596.520417876,0
5134585.047518181,0
-2078328.3171202978,1
23709142.3270355,0
-3429721.362170694,1
51069887.232513234,0
-6690572.106129537,1
-12691271.852983354,1
5852035.540429659,0
16052529.049201816,0
1798849.321055975,0
6819596.622946957,0
16659926.017561343,0
5885309.860145691,0
-4100630.006133594,1
5795905.178049767,0
-16247978.684107967,1
-12796432.439153511,1
-12567066.589523315,1
-4667233.425100694,1
9415049.946013806,0
-15259934.11680237,1
-8010195.810705605,1
7926462.914792963,0
5748605.406531343,0
14843131.792113714,0
-4530512.121401306,1
-5594458.445533456,1
22066705.713294126,0
-12243214.139030242,1
2888375.6919184523,0
-7253076.428933082,1
-4439626.762944344,1
-1343721.721266358,1
-9384029.001667257,1
-5688016.589615423,1
-2640471.1263800515,1
-21403619.24122935,1
24482002.418931093,0
28614264.363509532,0
-20664641.439008456,1
-3081217.432991944,1
-9338249.029806845,1
-14109286.515163224,1
-3769957.0956985666,1
-13965697.191895641,1
12119688.464771882,0
17952020.964482203,0
-6751229.135234762,1
-9820629.268183203,1
-6750589.14058727,1
-6952493.915056522,1
-3629421.4191703093,1
-3649607.9862944735,1
9083082.552135188,0
11061974.798799766,0
-1086411.7765865065,1
-2128575.3033619607,1
-6843608.156372868,1
-3061215.914469382,1
7601131.152058636,0
-2521902.399305408,1
-15344452.519001277,1
9083140.19214227,0
-4573515.337431546,1
11441275.791017788,0
-1367623.9473940474,1
3309469.785035658,0
-4114150.365646864,1
15347885.061498003,0
-1077253.0193208666,1
-7759293.027825122,1
12499842.41202933,0
-3234750.4114509793,1
11491232.709126385,0
9944307.474711081,0
-7538599.252571593,1
2343266.4379924727,0
-4920501.321519058,1
1849937.8653694296,0
3434157.4566411134,0
5701780.631725572,0
19750878.991874427,0
17818529.601709086,0
-14686435.348738628,1
6872299.335711261,0
17844043.641076073,0
-1571179.0634762282,1
-595365.0342120946,1
12707466.367119752,0
-5782298.641974936,1
-11972614.156039724,1
-1176762.0145094132,1
-7739779.126355874,1
4391434.8488563355,0
-20042520.73706361,1
-13540738.838151053,1
17411590.258230165,0
-2633957.74418934,1
1456390.2089045963,0
8058259.458414994,0
23408020.983294528,0
-7296968.085970277,1
17585.763981831602,0
-11772503.914908715,1
-11063610.843931274,1
-11754512.531618645,1
353630.81393829494,0
-9363598.54251622,1
-7469707.117377713,1
5042655.157541299,0
8016065.127299549,0
-1137583.8786814017,1
124419.17034662887,0
-4204152.673229633,1
107827.1392828627,0
-4299786.1748489905,1
-14670187.843845353,1
3554170.309284066,0
-19825745.39888383,1
-1416189.5956258224,1
-12059935.817280032,1
-25408022.839320555,1
-5890589.073767709,1
21307823.035303555,0
-10637593.515492339,1
4169815.310854473,0
8803938.552649753,0
15593339.516895646,0
-12891318.909364939,1
2613967.7029214413,0
-7299198.774712571,1
-9740001.265796268,1
-1750085.3158609741,1
39560217.86850789,0
74515.36575733515,0
-10469665.94312869,1
-13615657.812550472,1
-5543862.388438428,1
-9416012.196654992,1
-5478185.579612917,1
-11488496.701226076,1
41164311.25562758,0
2987596.7434567693,0
-9260543.470212856,1
-3089338.054733079,1
-546520.030402276,1
-5515250.694767445,1
-1364534.296869474,1
-13555976.30806649,1
13245825.36452391,0
13948424.225253899,0
-10348668.985857511,1
3755203.696144421,0
6888835.488362901,0
-17499306.726479016,1
6435787.03433771,0
7113939.146263407,0
-8117270.762260213,1
-3623915.009663372,1
1228247.871481626,0
-16340720.058863973,1
968567.3764640478,0
-970425.7841136906,1
-19078.187082549717,1
26563481.896551605,0
-9116103.071272284,1
-8216200.822989269,1
-9225303.603405355,1
1020325.1192683469,0
13664009.454253683,0
-18568052.478505664,1
509483.2181111188,0
-1224763.7523283153,1
-4615799.350097316,1
10081385.569934312,0
-1345275.260551429,1
-7039514.619225114,1
-13037819.047948213,1
