inflation_rate,ruin_probability,ruin_se,ruin_ci_low,ruin_ci_high,n_sim,share_final_negative,mode,mean_final,median_final
0.02,0.1452,0.0035230237013111334,0.13843110282353616,0.15224139243068696,10000,0.1452,3607086,18803041,14427591
0.03,0.5893,0.00491960882591289,0.5796250649820238,0.5989063503894472,10000,0.5893,-8910574,703,-2615879
